timestamp,pitch,pitch_rate,error,integral,wheel_vel,control_output
8.304000,-0.103398,-1.615899,0.213398,-0.043877,-2.674687,-2.674687
8.308000,-0.106014,-1.852976,0.216014,-0.043013,-2.555738,-2.555738
8.312000,-0.115470,-2.489294,0.225470,-0.042111,-2.360357,-2.360357
8.316000,-0.122190,-3.034307,0.232190,-0.041183,-2.191076,-2.191076
8.320000,-0.130515,-3.463500,0.240515,-0.040221,-2.001254,-2.001254
8.324000,-0.135321,-3.070105,0.245321,-0.039239,-1.846424,-1.846424
8.328000,-0.143790,-2.623521,0.253790,-0.038224,-1.649168,-1.649168
8.332000,-0.148637,-2.261991,0.258637,-0.037190,-1.487996,-1.487996
8.336000,-0.163347,-2.435250,0.273347,-0.036096,-1.216559,-1.216559
8.340000,-0.170354,-2.248548,0.280354,-0.034975,-1.023743,-1.023743
8.344000,-0.179756,-1.998578,0.289756,-0.033816,-0.801518,-0.801518
8.348000,-0.187093,-2.420024,0.297093,-0.032627,-0.597892,-0.597892
8.352000,-0.194283,-2.647636,0.304283,-0.031410,-0.392551,-0.392551
8.356000,-0.205932,-2.419858,0.315932,-0.030147,-0.135173,-0.135173
8.360000,-0.212558,-1.974680,0.322558,-0.028856,0.071998,0.071998
8.364000,-0.212720,-1.867494,0.322720,-0.027565,0.211572,0.211572
8.368000,-0.222477,-1.942666,0.332477,-0.026236,0.456996,0.456996
8.372000,-0.226006,-1.767785,0.336006,-0.024891,0.638270,0.638270
8.376000,-0.225605,-1.421258,0.335605,-0.023549,0.778471,0.778471
8.380000,-0.228085,-1.756711,0.338085,-0.022197,0.950702,0.950702
8.384000,-0.231786,-2.092432,0.341786,-0.020830,1.137655,1.137655
8.388000,-0.225367,-1.948982,0.335367,-0.019488,1.215610,1.215610
8.392000,-0.222550,-1.792945,0.332550,-0.018158,1.331222,1.331222
8.396000,-0.218312,-1.426772,0.328312,-0.016845,1.430566,1.430566
8.400000,-0.220272,-1.022258,0.330272,-0.015524,1.596395,1.596395
8.404000,-0.217930,-1.173504,0.327930,-0.014212,1.715842,1.715842
8.408000,-0.211547,-0.876376,0.321547,-0.012926,1.790324,1.790324
8.412000,-0.205199,-0.754371,0.315199,-0.011665,1.863029,1.863029
8.416000,-0.206716,-0.551515,0.316716,-0.010398,2.019473,2.019473
8.420000,-0.204556,-0.282706,0.314556,-0.009140,2.135978,2.135978
8.424000,-0.200251,-0.363303,0.310251,-0.007899,2.228125,2.228125
8.428000,-0.195208,-0.382686,0.305208,-0.006678,2.310571,2.310571
8.432000,-0.195159,-0.724702,0.305159,-0.005457,2.445714,2.445714
8.436000,-0.193912,-0.372583,0.303912,-0.004242,2.567456,2.567456
8.440000,-0.190370,0.171761,0.300370,-0.003040,2.663445,2.663445
8.444000,-0.187510,0.432511,0.297510,-0.001850,2.765481,2.765481
8.448000,-0.184475,0.604756,0.294475,-0.000672,2.864404,2.864404
8.452000,-0.180475,0.332767,0.290475,0.000490,2.951491,2.951491
8.456000,-0.184199,0.111536,0.294199,0.001666,3.121472,3.121472
8.460000,-0.185510,0.209763,0.295510,0.002848,3.266027,3.266027
8.464000,-0.181625,0.444334,0.291625,0.004015,3.354024,3.354024
8.468000,-0.179217,0.895013,0.289217,0.005172,3.456777,3.456777
8.472000,-0.172890,1.038675,0.282890,0.006303,3.515676,3.515676
8.476000,-0.171225,1.168364,0.281225,0.007428,3.623255,3.623255
8.480000,-0.168957,1.759370,0.278957,0.008544,3.723404,3.723404
8.484000,-0.167245,2.103063,0.277245,0.009653,3.828619,3.828619
8.488000,-0.165164,1.932323,0.275164,0.010754,3.928970,3.928970
8.492000,-0.157635,1.154590,0.267635,0.011824,3.968797,3.968797
8.496000,-0.145930,1.104406,0.255930,0.012848,3.960153,3.960153
8.500000,-0.136785,1.987132,0.246785,0.013835,3.975202,3.975202
8.504000,-0.131067,2.249409,0.241067,0.014799,4.024129,4.024129
8.508000,-0.125023,2.213701,0.235023,0.015740,4.066980,4.066980
8.512000,-0.114329,2.648355,0.224329,0.016637,4.056320,4.056320
8.516000,-0.099487,2.954148,0.209487,0.017475,3.996051,3.996051
8.520000,-0.090673,2.931315,0.200673,0.018278,3.996015,3.996015
8.524000,-0.080244,3.374742,0.190244,0.019038,3.974461,3.974461
8.528000,-0.071684,3.341156,0.181684,0.019765,3.968970,3.968970
